clause_text,clause_type
"Upon Changes in Capitalization, Merger, Asset Sale, Dissolution or Liquidation .",Adjustments
The SARs may be adjusted or terminated in any manner as contemplated by Section 10 of the Plan.,Adjustments
The PSUs are subject to adjustment as provided in Section 6.1 of the Plan.,Adjustments
The SARs may be adjusted or terminated in any manner as contemplated by Section 11 of the Plan.,Adjustments
The MSUs shall be subject to adjustment as provided in Section 16 of the Omnibus Plan.,Adjustments
Each Grantor covenants and agrees that it shall perform all covenants in this Section 4.03(b) .,Agreements
Each Grantor covenants and agrees that it shall perform all covenants in this Section 4.01(b) .,Agreements
Each Grantor covenants and agrees that it shall perform all covenants in this Section 4.04(b)(ii) .,Agreements
"This Fifth Amended and Restated Credit Agreement, including the Schedules and Exhibits hereto.",Agreements
"MGM NATIONAL HARBOR LLC Borrower Lenders Lender BANK OF AMERICA, N.A.",Agreements
Any amendment to this Agreement shall be made in writing and signed by both the parties hereto.,Amendments
This Agreement shall not be modified or amended except in writing signed by all parties hereto.,Amendments
This Release may be amended only upon a written agreement executed by the Bank and me.,Amendments
This Agreement may not be amended except by a written instrument executed by the Parties.,Amendments
This Agreement may be amended upon the consent of the Manager and Member.,Amendments
All provisions of this Mortgage shall be governed by the laws of the State of Florida.,Applicable Laws
This Agreement shall be interpreted and enforced in accordance with the laws of Delaware.,Applicable Laws
The Plan and this Option shall be construed in accordance with the laws of the State of Delaware.,Applicable Laws
The laws of the state in which the Property is located shall govern this Lease.,Applicable Laws
This Agreement shall be governed and construed in accordance with the laws of the State of Florida.,Applicable Laws
"In order for Landlord to build the New Building, several things must happen.",Approvals
The Approval of the Amendment by the Required Holders.,Approvals
Any waiting period under the HSR Act applicable to the Merger shall have expired or been terminated.,Approvals
Any waiting period under the HSR Act applicable to the Merger shall have expired or been terminated.,Approvals
Any waiting period under the HSR Act applicable to the Merger shall have expired or been terminated.,Approvals
The terms and provisions of Exhibit A hereto are incorporated herein as if fully set forth herein.,Arbitration
You will be subject to the arbitration requirements in this Paragraph 20.,Arbitration
This Note is subject to the arbitration provisions contained in the Credit Agreement.,Arbitration
You will be subject to the arbitration requirements in this Paragraph 18.,Arbitration
The parties agree to binding arbitration as outlined in the Arbitration Agreement appended hereto.,Arbitration
Tenant acknowledges and consents to the assignment of the Lease by Landlord in favor of Lender.,Assignments
Section 20.6 is hereby deleted in its entirety and replaced with the following.,Assignments
This Note shall not be assigned by Borrower without the express written consent of Lender.,Assignments
The Member may assign in whole or in part its limited liability company interest in the Company.,Assignments
Section 6.1 of the Lease shall remain in full force and effect.,Assignments
Buyer has full power and authority to enter into this Agreement.,Authority
METABOLIX has the authority to enter into this Agreement and to carry out its obligations hereunder.,Authority
"Each Party represents that it has full right, power and authority to enter into this Agreement.",Authority
The undersigned is a duly authorized officer of Borrower.,Authority
The undersigned is a duly authorized officer of Borrower.,Authority
The undersigned is a duly authorized officer of Borrower.,Authority
"This Subscription Agreement has been duly authorized, validly executed and delivered by Subscriber.",Authorizations
"This Subscription Agreement has been duly authorized, validly executed and delivered by Subscriber.",Authorizations
"This Subscription Agreement has been duly authorized, validly executed and delivered by Subscriber.",Authorizations
"This Subscription Agreement has been duly authorized, validly executed and delivered by Subscriber.",Authorizations
"This Subscription Agreement has been duly authorized, validly executed and delivered by Subscriber.",Authorizations
"Your initial base cash salary will be at a rate of US$1,000,000 per year.",Base Salary
"Your starting base annualized salary will be $400,000, paid on a bi-weekly basis.",Base Salary
Means a Participant's base salary as of the date of the Participant’s Separation from Service.,Base Salary
"Your Base Salary will be $450,000 annually, subject to applicable deductions and withholdings.",Base Salary
"Your base salary will be: $27,884,62 biweekly ($725,000 annualized).",Base Salary
"Company agrees to continue Employee’s medical benefits through October 31, 2016.",Benefits
"Employee shall not receive any benefits, medical or otherwise.",Benefits
"Any benefit payable pursuant to, and determined in accordance with, the provisions of this Plan.",Benefits
"If the Executive voluntarily resigns, the Company will pay Executive the Accrued Amounts.",Benefits
Programs; Communication and Transportation Devices .,Benefits
This Security Agreement shall become effective upon execution by Grantor and Secured Party.,Binding Effects
"This Agreement shall be binding upon, and inure to the benefit of, the Members and the Parent.",Binding Effects
This Amendment binds and is for the benefit of the successors and permitted assigns of each   party.,Binding Effects
This Agreement shall become effective as provided in the Fourth Amendment Agreement.,Binding Effects
This Agreement constitutes a valid and binding agreement of PICA.,Binding Effects
"CBRE, Inc., representing Tenant, and Jones Lang LaSalle, representing Landlord.",Brokers
"CBRE, Inc., representing Tenant, and Jones Lang LaSalle, representing Landlord.",Brokers
"CBRE, Inc., representing Tenant, and Jones Lang LaSalle, representing Landlord.",Brokers
"CBRE, Inc., representing Tenant, and Jones Lang LaSalle, representing Landlord.",Brokers
"CBRE, Inc., representing Tenant, and Jones Lang LaSalle, representing Landlord.",Brokers
"As of the date hereof, the Company has 95,083,052 shares of Common Stock issued and outstanding.",Capitalization
The capitalization of the Company is properly reflected by the SEC Filings.,Capitalization
"The Borrower is wholly owned by The Crypto Company, a Nevada corporation.",Capitalization
"As of 21’ January 2019, the Company has 7,804,592 shares of Common Stock issued and outstanding.",Capitalization
"As of 21’ January 2019, the Company has 7,804,592 shares of Common Stock issued and outstanding.",Capitalization
"A Change in Control shall occur, whether directly or indirectly.",Change In Control
In the event of a Change in Control the Restricted Cash shall fully vest.,Change In Control
All unvested RSUs shall become fully vested upon a Change in Control.,Change In Control
The terms of the Plan will govern the Option in the event of a Change in Control.,Change In Control
This Section 16(c) shall apply except to the extent otherwise provided in the Award Agreement.,Change In Control
Date (after giving effect to the incurrence of Loans on such date).,Closings
"The closing of the RTO shall occur on or before January 31, 2017 (the “ Closing Date ”).",Closings
"The closing of the RTO shall occur on or before December 31, 2016 (the “ Closing Date ”).",Closings
The consummation of the transactions described herein as more fully described in Section 4 below.,Closings
The term “ Closing ” shall have the meaning set forth in Section 2.1 .,Closings
The Company shall comply with all applicable federal and state securities laws.,Compliance With Laws
The Borrower will comply in all material respects with all Applicable Laws.,Compliance With Laws
Parent GP and each Loan Party is in compliance in all material respects with all applicable Laws.,Compliance With Laws
"Comply with all laws, ordinances, regulations and restrictions affecting the Mortgaged Property.",Compliance With Laws
Section 12.5 of the Collaboration Agreement is hereby incorporated by reference into this Agreement.,Compliance With Laws
The terms of this Agreement shall be kept confidential by all parties.,Confidentiality
The terms of this Agreement shall be kept confidential by all parties.,Confidentiality
The terms of this Agreement shall be kept confidential by all parties.,Confidentiality
The terms of this Agreement shall be kept confidential by all parties.,Confidentiality
"Article IX of the Program Agreement is incorporated herein, mutatis mutandis .",Confidentiality
The Parties shall have received all of the Consents set forth on Schedule 10.05(e) .,Consents
All Consents shall have been obtained and copies shall have been delivered to Buyer.,Consents
The Administrative Agent hereby consents to this Amendment.,Consents
The Beneficiaries hereby consent to the sale of the Stock on the terms set forth herein.,Consents
Managing Member hereby consents to the admission of Amarillo as a Non-Managing Member of HCPI/Utah.,Consents
"Loan Guarantee "" shall have the meaning provided in Section 9 . 7 .",Construction
"Section 1.02 of the Credit Agreement is incorporated herein, mutatis mutandis , as if a part hereof.",Construction
"When the context requires, singular nouns and pronouns include the plural.",Construction
This Agreement has been prepared jointly and shall not be strictly construed against any party.,Construction
Any reference to the Company in this Section 7 shall include the Company and/or its subsidiaries.,Construction
The Executive agrees that he is bound by the terms of the Confidentiality Agreement.,Cooperation
"On request, Tenant will provide Landlord with other relevant information on an ongoing basis.",Cooperation
"Each party shall bear its own fees, costs and expenses in connection with Dispute resolution.",Costs
Purchaser will pay all costs allocated to Purchaser pursuant to Section 9.5 of this Agreement.,Costs
Borrower will pay Lender’s attorneys’ fees for preparation of this Ninth Waiver.,Costs
Seller will pay all costs allocated to Seller pursuant to Section 9.5 of this Agreement.,Costs
